OrderID,Date,Product,Category,Price,Quantity,CustomerID,Region,Discount
1001,2024-01-15,Laptop,Electronics,120000,1,C001,East,0.1
1002,2024-01-16,Mouse,Electronics,2500,3,C002,West,0.05
1003,2024-01-16,Desk,Furniture,45000,2,C001,East,0.15
1004,2024-01-17,Notebook,Stationery,500,10,C003,South,0
1005,2024-01-17,Monitor,Electronics,35000,1,C004,North,0.1
1006,2024-01-18,Chair,Furniture,25000,4,C002,West,0.2
1007,2024-01-18,Keyboard,Electronics,7500,2,C005,East,0.05
1008,2024-01-19,Pen,Stationery,150,50,C003,South,0
1009,2024-01-19,Headphones,Electronics,12000,2,C006,North,0.1
1010,2024-01-20,Lamp,Furniture,3500,3,C001,East,0.05
1011,2024-01-20,Printer,Electronics,28000,1,C007,West,0.15
1012,2024-01-21,Bookshelf,Furniture,35000,1,C004,North,0.1
1013,2024-01-21,Stapler,Stationery,800,5,C008,South,0
1014,2024-01-22,Webcam,Electronics,8000,3,C002,West,0.1
1015,2024-01-22,Eraser,Stationery,100,100,C003,South,0
